Year,Month,AIRT,U10,V10,W10,EVP,PCP,EMP,QSHORT,QLONG,QLAT,QSEN,QNET,SSH,SST,SSS,SSC,SLD
2001,3,299.689697265625,-0.357120513916016,-0.357120513916016,3.73763823509216,-0.00346408784389496,0.00020599365234375,-0.00367008149623871,23332004,-6269903,-8663920,-507600,7890581,0.484939115121961,27.7736442089081,31.6171757876873,1536.54764433904,50
2001,4,301.84130859375,-1.18169975280762,-1.18169975280762,2.73323559761047,-0.00364432856440544,0.000680923461914062,-0.0043252520263195,23420928,-5254033,-9113808,-567967,8485120,0.510879848152399,29.8867458030581,31.1731314752251,1540.60700279322,9
2001,5,301.554443359375,4.88073921203613,4.88073921203613,7.17376518249512,-0.00574388355016708,0.00914764404296875,-0.0148915275931358,18291712,-3813580,-14364352,-1371275,-1257495,0.538346506655216,30.2705465778708,32.0947904605418,1542.43712569048,20
2001,6,301.2109375,6.19442462921143,6.19442462921143,9.79986190795898,-0.00626028329133987,0.00729560852050781,-0.0135558918118477,19152896,-3717194,-15655520,-1072495,-1292313,0.502639850601554,29.0568864941597,32.9660939052701,1540.86922138885,39
2001,7,300.738037109375,5.95818138122559,5.95818138122559,8.19227123260498,-0.00503942742943764,0.00943565368652344,-0.0144750811159611,18025472,-3581055,-12602144,-981893,860380,0.542619097977877,28.5925168544054,33.0271309241652,1539.94085475132,51
2001,8,300.70263671875,7.39825820922852,7.39825820922852,9.43954563140869,-0.0057678148150444,0.0104236602783203,-0.0161914750933647,16992256,-3494411,-14424032,-1237646,-2163833,0.525528732687235,28.5500350892544,32.7127902768552,1539.49332229253,43
2001,9,300.481201171875,4.21004772186279,4.21004772186279,5.98431205749512,-0.00432323664426804,0.0098114013671875,-0.0141346380114555,18187772,-3930652,-10811440,-1140482,2305198,0.50935392268002,28.7946714609861,32.40150148049,1539.66997050446,33
2001,10,300.1689453125,0.312153816223145,0.312153816223145,4.66171360015869,-0.00376472622156143,0.0113067626953125,-0.0150714889168739,15692800,-3864599,-9414880,-1158363,1254958,0.477614672854543,28.7404705882072,32.0459608454257,1539.1516727357,38
2001,11,300.1376953125,-5.0773458480835,-5.0773458480835,6.42318248748779,-0.00656637921929359,0.00974655151367188,-0.0163129307329655,15834112,-4853184,-16420960,-1571280,-7011312,0.489516891539097,28.5683461949229,32.7112643513829,1539.53126257873,40
2001,12,299.44873046875,-4.58182239532471,-4.58182239532471,6.11309719085693,-0.00498079881072044,0.00305557250976562,-0.00803637132048607,15934464,-4999809,-12456848,-951824,-2474017,0.56031983345747,27.7948850914836,32.5189977418631,1537.61874926752,57
2002,1,299.2177734375,-5.11016082763672,-5.11016082763672,6.22515964508057,-0.00496113672852516,0.000970840454101562,-0.00593197718262672,17630208,-5422784,-12406384,-678560,-877520,0.511795403435826,27.3715323284268,32.8760643023998,1537.08135034439,56
2002,2,299.3115234375,-3.51692390441895,-3.51692390441895,5.62955951690674,-0.00426375493407249,7.2479248046875e-05,-0.00433623418211937,21474304,-6698527,-10662480,-562832,3550465,0.451673939824104,27.2763145789504,32.985930936411,1536.99288273326,56
2002,3,299.981201171875,-2.1672534942627,-2.1672534942627,3.69306540489197,-0.0034952200949192,0.000116348266601562,-0.00361156836152077,23990956,-6604111,-8740912,-576400,8069533,0.502639850601554,28.1676992028952,32.3282570578158,1538.22440583491,52
2002,4,301.53564453125,-2.03643417358398,-2.03643417358398,2.73337388038635,-0.00360454246401787,0.00134086608886719,-0.00494540855288506,23013888,-5253131,-9013744,-698014,8048999,0.46632282435894,30.2244025915861,32.2992644738406,1542.57079551121,13
2002,5,301.764892578125,4.61552810668945,4.61552810668945,7.33075428009033,-0.00503745302557945,0.00551033020019531,-0.0105477832257748,19350528,-3851652,-12597840,-816798,2084238,0.536210210993886,29.9145786836743,32.3725088965148,1542.01001258388,26
2002,6,301.4033203125,5.38102340698242,5.38102340698242,8.35398578643799,-0.00578511878848076,0.00737762451171875,-0.0131627433001995,18677248,-3776782,-14468048,-1180905,-748487,0.514542069286108,28.9440900832415,32.6792199164629,1540.30438760408,50
2002,7,301.18359375,7.18261337280273,7.18261337280273,9.39218902587891,-0.00532946735620499,0.00515365600585938,-0.0104831233620644,18774528,-3576404,-13327872,-742080,1128172,0.593890193849802,28.9338358640671,33.2483901176602,1540.92500520132,58
2002,8,300.638916015625,6.91655254364014,6.91655254364014,9.3800687789917,-0.00545781850814819,0.00787734985351562,-0.0133351683616638,17780224,-3521478,-13648352,-908533,-298139,0.566728720441461,28.3940244689584,32.840968016535,1539.2996337423,63
2002,9,300.426513671875,5.96283531188965,5.96283531188965,7.50842666625977,-0.00472409278154373,0.00541305541992188,-0.0101371482014656,18495302,-3941311,-11814192,-1100063,1639736,0.508438367396593,28.5317239835858,33.0683309119195,1539.85592592058,47
2002,10,300.31201171875,-0.144397735595703,-0.144397735595703,2.66244721412659,-0.00304998084902763,0.0061187744140625,-0.00916875526309013,18514944,-4382545,-7627680,-937046,5567673,0.458388011902571,29.1110873669386,32.6303903013468,1540.60621387187,27
2002,11,300.078125,-1.73176002502441,-1.73176002502441,5.42725896835327,-0.00448260456323624,0.0103187561035156,-0.0148013606667519,14401024,-3869456,-11211152,-1209824,-1889408,0.471816156059504,28.8591265529394,32.7463606372476,1540.19795866223,37
2002,12,299.845458984375,-4.46830177307129,-4.46830177307129,5.99404144287109,-0.00523886829614639,0.00367927551269531,-0.00891814380884171,15735808,-4980032,-13101152,-1085600,-3430976,0.518509475514293,28.3683889210224,32.6487014070153,1539.02611810498,46
2003,1,299.25146484375,-4.01503753662109,-4.01503753662109,6.01608276367188,-0.00609422475099564,0.000957489013671875,-0.00705171376466751,17823744,-5818656,-15240960,-1102800,-4338672,0.523087251931429,27.9025543928146,32.3938718531281,1537.71497946299,56
2003,2,299.665771484375,-3.96965312957764,-3.96965312957764,5.77318096160889,-0.00495179370045662,0.000247955322265625,-0.00519974902272224,20380672,-6256524,-12382992,-741872,999284,0.576189458370209,28.0651570111513,32.4167607352138,1538.09947803247,60
